"","Week","StationId","Hour","Weekday_bike_out","Weekend_bike_out"
"753","1",1031,"8",1,0
"754","1",1031,"9",1,0
"755","1",1031,"10",0,0
"756","1",1031,"11",0,1
"757","1",1031,"12",1,0
"758","1",1031,"13",0,0
"759","1",1031,"14",1,0
"760","1",1031,"15",6,1
"761","1",1031,"16",0,2
"762","1",1031,"17",2,0
"763","1",1031,"18",1,0
"764","1",1031,"19",2,1
"765","1",1031,"20",0,2
"766","1",1031,"21",0,0
"767","1",1031,"22",0,0
"768","1",1031,"23",0,0
"769","1",1032,"0",0,0
"770","1",1032,"1",0,0
"771","1",1032,"2",0,0
"772","1",1032,"3",0,0
"773","1",1032,"4",0,0
"774","1",1032,"5",1,0
"775","1",1032,"6",0,0
"776","1",1032,"7",1,0
"777","1",1032,"8",4,0
"778","1",1032,"9",3,1
"779","1",1032,"10",2,0
"780","1",1032,"11",4,0
"781","1",1032,"12",2,0
"782","1",1032,"13",1,0
"783","1",1032,"14",2,4
"784","1",1032,"15",2,2
"785","1",1032,"16",3,4
"786","1",1032,"17",0,0
"787","1",1032,"18",0,0
"788","1",1032,"19",2,2
"789","1",1032,"20",3,1
"790","1",1032,"21",2,1
"791","1",1032,"22",0,0
"792","1",1032,"23",2,0
"793","1",1033,"0",0,0
"794","1",1033,"1",0,2
"795","1",1033,"2",1,0
"796","1",1033,"3",0,0
"797","1",1033,"4",0,0
"798","1",1033,"5",0,0
"799","1",1033,"6",0,0
"800","1",1033,"7",2,0
"801","1",1033,"8",7,0
"802","1",1033,"9",1,0
"803","1",1033,"10",1,2
"804","1",1033,"11",4,0
"805","1",1033,"12",5,0
"806","1",1033,"13",2,1
"807","1",1033,"14",2,4
"808","1",1033,"15",3,0
"809","1",1033,"16",2,1
"810","1",1033,"17",0,2
"811","1",1033,"18",1,0
"812","1",1033,"19",2,0
"813","1",1033,"20",1,1
"814","1",1033,"21",4,1
"815","1",1033,"22",2,1
"816","1",1033,"23",0,0
"817","1",1034,"0",1,0
"818","1",1034,"1",0,0
"819","1",1034,"2",0,0
"820","1",1034,"3",0,0
"821","1",1034,"4",0,0
"822","1",1034,"5",0,0
"823","1",1034,"6",0,0
"824","1",1034,"7",0,0
"825","1",1034,"8",0,0
"826","1",1034,"9",1,0
"827","1",1034,"10",0,2
"828","1",1034,"11",4,0
"829","1",1034,"12",0,5
"830","1",1034,"13",0,2
"831","1",1034,"14",2,1
"832","1",1034,"15",9,0
"833","1",1034,"16",0,2
"834","1",1034,"17",1,0
"835","1",1034,"18",1,0
"836","1",1034,"19",1,0
"837","1",1034,"20",1,0
"838","1",1034,"21",0,1
"839","1",1034,"22",0,0
"840","1",1034,"23",0,0
"841","1",1035,"0",1,0
"842","1",1035,"1",0,0
"843","1",1035,"2",0,0
"844","1",1035,"3",0,0
"845","1",1035,"4",0,0
"846","1",1035,"5",0,0
"847","1",1035,"6",0,0
"848","1",1035,"7",0,0
"849","1",1035,"8",0,0
"850","1",1035,"9",0,0
"851","1",1035,"10",0,0
"852","1",1035,"11",0,1
"853","1",1035,"12",0,0
"854","1",1035,"13",7,0
"855","1",1035,"14",2,0
"856","1",1035,"15",0,0
"857","1",1035,"16",6,0
"858","1",1035,"17",7,0
"859","1",1035,"18",0,1
"860","1",1035,"19",3,0
"861","1",1035,"20",0,2
"862","1",1035,"21",1,0
"863","1",1035,"22",0,0
"864","1",1035,"23",0,0
"865","1",1036,"0",0,0
"866","1",1036,"1",2,0
"867","1",1036,"2",0,0
"868","1",1036,"3",2,0
"869","1",1036,"4",0,0
"870","1",1036,"5",0,0
"871","1",1036,"6",0,0
"872","1",1036,"7",0,0
"873","1",1036,"8",0,0
"874","1",1036,"9",0,0
"875","1",1036,"10",0,2
"876","1",1036,"11",2,0
"877","1",1036,"12",5,0
"878","1",1036,"13",6,0
"879","1",1036,"14",7,0
"880","1",1036,"15",4,4
"881","1",1036,"16",5,4
"882","1",1036,"17",1,1
"883","1",1036,"18",1,5
"884","1",1036,"19",6,0
"885","1",1036,"20",4,1
"886","1",1036,"21",2,0
"887","1",1036,"22",0,0
"888","1",1036,"23",0,0
"889","1",1037,"0",0,0
"890","1",1037,"1",0,0
"891","1",1037,"2",0,0
"892","1",1037,"3",0,0
"893","1",1037,"4",0,0
"894","1",1037,"5",0,0
"895","1",1037,"6",0,0
"896","1",1037,"7",0,0
"897","1",1037,"8",0,0
"898","1",1037,"9",0,0
"899","1",1037,"10",0,0
"900","1",1037,"11",0,0
"901","1",1037,"12",0,0
"902","1",1037,"13",0,0
"903","1",1037,"14",0,0
"904","1",1037,"15",0,0
"905","1",1037,"16",0,0
"906","1",1037,"17",0,0
"907","1",1037,"18",0,0
"908","1",1037,"19",0,0
"909","1",1037,"20",0,0
"910","1",1037,"21",0,0
"911","1",1037,"22",0,0
"912","1",1037,"23",0,0
"913","1",1038,"0",0,0
"914","1",1038,"1",0,0
"915","1",1038,"2",0,0
"916","1",1038,"3",0,0
"917","1",1038,"4",0,0
"918","1",1038,"5",0,0
"919","1",1038,"6",0,0
